ID,名字,描述,获得方式
271,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
272,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
273,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
274,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
275,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
276,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
277,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
278,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
279,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
280,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
281,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
282,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
283,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
284,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
285,Spora Horas,"Mengembalikan 15 stamina setelah #c0aba1dmakan#n, dan mendapatkan #c0aba1dkondisi fluor#n. Kemungkinan mendapatkan kondisi penglihatan malam atau kondisi pusing.",Tumbuh di sudut gelap di bawah pulau langit. Boleh didapatkan dengan menanam biji spora Horas.
286,Stipe Spora Horas yang bermutasi,@item_261# yang bermutasi setelah bereaksi terhadap @item_227# atau @item_226#,
287,Pakis Bergerigi Tidak Berbuah,"Tumbuhan paku kuno yang khas di #c0aba1dtanah merah#n, daunya bergigi tajam, beberapa juga akan menumbuhkan #c0aba1d buah duri#n, setelah menempel di tubuh, sulit untuk dilepaskan#r Jangan menyentuhnya dengan tangan secara langsung.",
288,Pakis Bergigi Berbuah Duri,"Tumbuhan paku kuno yang khas di #c0aba1dtanah merah#n, daunya bergigi tajam, beberapa juga akan menumbuhkan #c0aba1d buah duri#n, setelah menempel di tubuh, sulit untuk dilepaskan#r Jangan menyentuhnya dengan tangan secara langsung.",
289,Dinding Batu Kerikil Bergerigi,"Setelah melilit #c0aba1dtangkai duri#n, kemampuan pertahanannya meningkat secara signifikan. Sekarang tidak hanya dapat menghalangi monster, tetapi juga memantul monster yang sentuhnya #r#c0aba1d Tips#n: Tidak disarankan untuk memelihara hewan.",diproses di meja tukang
290,Dinding Batu Berlumut Bergerigi,"Setelah melilit #c0aba1dtangkai duri#n, kemampuan pertahanannya meningkat secara signifikan. Sekarang tidak hanya dapat menghalangi monster, tetapi juga memantul monster yang sentuhnya #r#c0aba1d Tips#n: Tidak disarankan untuk memelihara hewan.",@Null@
291,Dinding Batu Planet Bergerigi,"Setelah melilit #c0aba1dtangkai duri#n, kemampuan pertahanannya meningkat secara signifikan. Sekarang tidak hanya dapat menghalangi monster, tetapi juga memantul monster yang sentuhnya #r#c0aba1d Tips#n: Tidak disarankan untuk memelihara hewan.",@Null@
292,Bibit Tanaman Kelapa,Bibit yang tumbuh setelah kelapa ditanam di tanah; akan bertumbuh menjadi pohon kelapa setelah jangka pendek!,
294,Daun Kelapa Besar,"Daun yang besar, tampaknya dapat dibakar lama kalau dijadikan #c0aba1dbahan bakar#n",
295,Kelapa besar,"Memulihkan 15 stamina setelah #c0aba1d makan#n, dapat ditanam di #c0aba1d lubang#n agar tumbuh jadi pohon kelapa; #r Hati-hati dengan buah besar yang bertumbuh di #c0aba1dPohon Kelapa#n, jangan sampai kelapa jatuh menimpamu!",
296,Daun Kelapa Raksasa Mutasi,"Dipengaruhi oleh tanah merah, warna seluruh daun telah berubah secara drastis, dan sejumlah besar zat tidak stabil telah terkumpul di dalamnya, dan dapat digunakan #c0aba1dbahan bakar#n.",
297,Kelapa Besar Mutasi,"Dipengaruhi oleh #c0aba1dtanah merah#n, kelapa telah berubah secara drastis, dan sejumlah besar zat tidak stabil telah terkumpul di dalamnya, dan buat kelapa tidak dapat ditanam dan tidak dapat dimakan lagi.#rKelihatannya bajak laut suka membuat #c0aba1dbola meriam#n dengan Kelapa Raksasa Mutasi, sebaiknya mencobanya!",
298,Obor kecil yang terbakar,"Dapat terus menyala untuk jangka waktu tertentu dan menerangi sekitarnya setelah ditempatkan, kemudian akan padam; dapat dinyalakan kembali ketika dinyalai dengan api hidup, contohnya: pegang #c0aba1dObor kecil yang terbakar#n nanti klik pada yang padam atau pegang #c0aba1dObor kecil yang terbakar#n  nanti klik #c0aba1dapi unggun#n yang terbakar #rTips : Obor kecil akan padam dan tidak dapat dinyalakan saat #c0aba1dhujan#n",
299,Obor Kecil Yang Padam,"Obor kecil yang telah dipadamkan boleh dinyalakan lagi apabila bersentuhan dengan api. Contohnya: Memegang #c0aba1dobor kecil yang terbakar#n lalu klik obor kecil yang padam, atau memegang #c0aba1dobor kecil yang padam#n lalu klik pada #c0aba1dunggun 
Api yang menyala#n. #rTips: Obo kecil akan dimatikan saat #c0aba1dhujan#n, dan tidak dapat dinyalakan lagi.",
300,Bunga Campanula,"Digunakan untuk membuat mahkota bunga dan sajian makanan lanjutan, juga boleh diproses menjadi biji bunga melalui Meja Tukang. #rPegang di tangan untuk membuat #c0aba1d orang-orangan sawah mengikuti#n.",Didapatkan di alam liar atau menanam biji Bunga Campanula di lubang.
301,Bunga orkid,"Makanan lanjutan bisa dibuat, dan juga bisa diproses menjadi biji bunga di Meja Tukang",Didapatkan di alam liar atau menanam biji bunga orkid di lubang
302,Bunga Bintang,"Dapat digunakan untuk membuat makanan bermutu tinggi, dan juga bisa dibuat menjadi biji bunga melalui meja tukang.",Diperoleh dengan mengumpulkan di alam liar atau menanam biji bunga bintang di dalam lubang tanah.
303,Bunga Dracaena,"Dapat digunakan untuk membuat makanan bermutu tinggi, dan juga bisa diolah menjadi biji bunga melalui meja tukang.",Diperoleh dengan mengumpulkan di alam liar atau tanam biji bunga dracaena di lubang tanah.
304,Bunga Hyacinth,"Makanan lanjutan bisa dibuat, dan juga bisa diproses menjadi biji bunga di Meja Tukang",Didapatkan di alam liar atau menanam biji Bunga Hyacinth di lubang
305,Rumput Cakar Naga,"Dapat digunakan untuk membuat makanan level lanjutan, dan juga bisa diproses menjadi biji bunga di meja tukang.",Diperoleh dengan mengumpulkan di alam liar atau tanam biji pohon dracaena di lubang tanah.
306,Naga Dracaena,"Dapat digunakan untuk membuat makanan bermutu tinggi, dan juga bisa diolah menjadi biji bunga melalui meja tukang.",Diperoleh dengan mengumpulkan di alam liar atau tanam biji pohon dracaena di lubang tanah.
307,Agava Merah,"Diguna untuk membuat mahkota bunga dan sajian makanan lanjutan, juga boleh diproses menjadi biji bunga di meja tukang.",Didapatkan di alam liar atau menanam biji Agave Merah di lubang.
308,Agava Jingga,"Bahan untuk hidangan lvl lanjutan, dan juga dibuat menjadi bibit bunga di Meja tukang.",Tanam Bibit Agava Jeruk di Lubang menumbuhkan
309,Agava Abu-abu,"Bahan untuk hidangan lvl lanjutan, dan juga dibuat menjadi bibit bunga di Meja tukang.","Boleh didapatkan di alam liar, atau menanam bibit Agave abu-abu dalam lubang."
310,Agava Pink,"Bahan untuk hidangan lvl lanjutan, dan juga dibuat menjadi bibit bunga di Meja tukang.",Didapatkan di alam liar atau menanam biji Agava Merah Muda di lubang.
311,Bunga Kelapa Putih,"Bisa digunakan untuk membuat makanan bermutu tinggi, atau diolah menjadi biji bunga melalui meja tukang.","Bisa dikumpulkan di alam liar, atau bisa diperoleh dengan menanam biji bunga kelapa putih di lubang tanah."
312,Bunga Bakung Kuning,"Bahan untuk hidangan lvl lanjutan, dan juga dibuat menjadi bibit bunga di Meja tukang.","Boleh didapatkan di alam liar, atau menanam bibit bunga bakung kuning dalam lubang."
313,Mawar Liar,"Dapat digunakan untuk buat sajian lanjutan, dan dapat diproses sebagai biji bunga di meja tukang.","Dapat dikumpulkan di alam liar, juga didapatkan dengan menanam biji mawar liar di lubang."
314,Alga Merah,Ini adalah bahan utama untuk membuat Obat Kekuatan Alga Merah,"Tumbuh di #c0aba1dlaut dalam#n, akan bercahaya lemah jika berada di sekitar mata air panas"
315,Versi game terlalu rendah,Buat makanan advance,
316,Versi game terlalu rendah,Buat makanan advance,
317,Versi game terlalu rendah,Buat makanan advance,
318,Versi game terlalu rendah,Buat makanan advance,
319,Versi game terlalu rendah,Buat pewarna merah muda dan makanan advance,
320,Versi game terlalu rendah,Buat makanan advance,
321,Bunga Persik,Rumput segar dan bunga berwarna-warni.,"Muncul di #c0aba1dhutan pohon persik#n, dapat dikumpulkan dengan alat sekop."
322,Tumpukan Bunga Kecil,Senang bertemu denganmu lagi saat musim semi tiba.,"Muncul di dalam #c0aba1dHutan Pohon Persik#n, dikumpulkan dengan alat sekop."
323,Tumpukan Daun,"Daun digugurkan terus menerus, seperti hujan yang tidak akan berhenti.","Muncul di #c0aba1dHutan Persik#n, dikumpulkan dengan alat sekop."
324,Buah Pohon Ceri,Daun-daun yang Buah Pohon Ceri tersembunyi dalamnya; Buah Pohon Ceri didapatkan setelah dihancurkan.,
325,Buah Pinus,"Daun berisi buah pinus yang matang, hancurkannya untuk mendapatkan buah pinus.",
326,Buah Pohon Besar,Daun-daun yang Buah Pohon Besar tersembunyi dalamnya; Buah Pohon Besar didapatkan setelah dihancurkan.,
327,Buah Pohon Gen,Tampaknya Buah oksigen tersembunyi dalam daunnya; Mendapatkan buah oksigen selepas hancurkannya.,
328,Buah Pohon Aras Merah,Daun-daun yang Buah Aras Merah tersembunyi dalamnya; Buah aras merah didapatkan setelah dihancurkan.,
329,Buah Walnut,Daun-daun yang walnut matang tersembunyi dalamnya; Buah walnut didapatkan setelah dihancurkan.,
330,Buah Persik,"Daun yang mengandung buah persik matang, menghancurkannya untuk mendapatkan buah persik",
331,Buah Poplar,"Daun poplar berbuah, bisa mendapatkan buah poplar setelah dihancurkan.",
332,Cabang ceri tebal,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
333,cabang ceri halus,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
334,Cabang larch kasar,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
335,Cabang lengkung,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
336,Cabang kayu langka yang kasar,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
337,Cabang kayu ceri,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
338,Cabang kenari tebal,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
339,Cabang kenari halus,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
340,Cabang pohon persik tebal,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
341,Cabang pohon persik,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
342,Cabang poplar kasar,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
343,Cabang poplar,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
344,Tepung Jagung,Bahan baku dasar untuk membuat banyak makanan.,@Null@
345,Bibit Pohon Kapas,Anak pohon kapas.,
346,Kerang Besar,"Kerang besar yang tumbuh di laut, kadang-kadang dibawa ke pantai oleh ombak; Itu akan terbuka dengan sendirinya sesekali di dalam air. Jika beruntung, Anda dapat menemukan #c0aba1dMutiara#n di dalamnya!",
348,Blok Mangan,Blok mengkilap yang dibuat dari banyak nodul mangan.,
349,Cabang kayu merah kasar,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
350,Cabang kayu merah,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, juga dapat digunakan sebagai bahan bakar, juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
351,Sinar Cahaya,,
352,Pemancar Sinar Energi Bintang,"#rMenerima dan mengirimkan #c0aba1dSinyal Energi Bintang#n. Ketika dibuka oleh #c0aba1dPlat Sensor Tombol#n, ia akan mengeluarkan Sinar Cahaya Energi Bintang sejauh 15 blok.",
353,Gerbang NOT,"Gerbang NOT dapat terus mengirimkan #c0aba1dSinyal Energi Bintang#n setelah ditempatkan. Setelah menerima sinyal, terminal input Gerbang NOT tidak akan mengeluarkan sinyal energi bintang, dan terminal outputnya selalu berlawanan dengan input.",
354,Gerbang AND,"Terminal input di kedua sisi Gerbang AND perlu menerima #c0aba1d Sinyal Energi Bintang#n pada saat yang sama, dan kemudian terminal output akan mengeluarkan #c0aba1dSinyal Energi Bintang#n.",
355,Gerbang OR,"Setelah salah satu terminal input di kedua sisi Gerbang OR menerima #c0aba1dSinyal Energi Bintang#n, terminal outputnya akan mengeluarkan #c0aba1dSinyal Energi Bintang#n.",
356,Pemisah Aliran Energi Bintang,"Ketika terminal input pemisah aliran menerima sinyal, terminal output dalam status on akan mengirimkan #c0aba1dSinyal Energi Bintang#n yang diterima. Setiap terminal output dapat beralih #c0aba1dStatus On/Off#n secara interaktif.",
357,Pengatur Waktu Energi Bintang,"Setelah ditempatkan dan digunakan kembali, ia dapat #c0aba1dmenyesuaikan interval Sinyal Energi Bintang#n. Setiap kali berkurang 1 blok, dan interval sinyal +0.1 detik.",
358,Sakelar,"Setelah menurunkan sakelar, @item_352# dan @item_353# dapat diaktifkan.",
359,Transduser-Sentuh,"Setelah ditempatkan, itu hanya dapat digunakan untuk mengaktifkan @item_352# dan @item_353# ketika di bawah tekanan #c0aba1dany # n.",
