ID,名字,描述,获得方式
268,Mutasyona uğramış bitki çubuğu,,Gökyüzü adasının altındaki gölgelerde #c0aba1d  #n
269,Floresan renkli çim,Küçük floresan topları ve büyük floresan topları yapmak için malzemelerden biri,#c0aba1d adada büyümek #n
270,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
271,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
272,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
273,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
274,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
275,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
276,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
277,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
278,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
279,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
280,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
281,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
282,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
283,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
284,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
285,astrospor,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü geri kazanır ve #c0aba1d floresan durumu #n, gece görüşü veya baş dönmesi durumu elde etme olasılığı","Sevimli gözlü yıldızlı gökyüzü adasının altındaki gölgelerde büyümek, yıldız ışığı spor tohumları dikmek de elde edilebilir"
286,Mutasyona uğramış Horas Spor Stipe,@item_227# veya @item_226#'ya tepki verdikten sonra mutasyona uğramış @item_261#,
287,Boğasız tırtıklı eğrelti,"#c0aba1d #n eşsiz antik kırmızı toprak bitkileri, yapraklardaki tırtıklı dişler son derece keskindir ve bazıları diken #n #c0aba1d büyüyecektir, ancak vücuda yapıştığında sallamak zordur #r lütfen karşılaştığınızda dolambaçlı yoldan gitmeye çalışın, özellikle eli boş dokunmanız önerilmez",
288,Soğanlı tırtıklı eğrelti,"#c0aba1d #n eşsiz antik kırmızı toprak bitkileri, yapraklardaki tırtıklı dişler son derece keskindir ve bazıları diken #n #c0aba1d büyüyecektir, ancak vücuda yapıştığında sallamak zordur #r lütfen karşılaştığınızda dolambaçlı yoldan gitmeye çalışın, özellikle eli boş dokunmanız önerilmez",
289,Tırtıklı çakıl duvar,"#c0aba1d diken sapı #nsarıldıktan sonra, çakıl duvarının savunma yeteneği önemli ölçüde geliştirildi. Şimdi sadece canavarı durdurmakla kalmıyor, aynı zamanda karşılaştığı canavarı da sıçrıyor #r #c0aba1d İpuçları #n: Esir hayvanların kullanılması önerilmez",Bir zanaatkar masasıyla işleme ile elde edilir
290,Tırtıklı mavi taş duvar,"#n #c0aba1d diken sapından sonra, mavi taş duvarının savunma yeteneği önemli ölçüde geliştirildi. Şimdi sadece canavarı durdurmakla kalmıyor, aynı zamanda karşılaştığı canavarı da sıçrıyor #r #c0aba1d İpuçları #n: Esir hayvanların kullanılması önerilmez",Bir zanaatkar masasıyla işleme ile elde edilir
291,Testere dişi gezegen kaya duvarı,"#n #c0aba1d diken sapından sonra, gezegenin kaya duvarının savunma yeteneği önemli ölçüde geliştirildi. Şimdi sadece canavarları durdurmakla kalmıyor, aynı zamanda karşılaştığı canavarları da sıçrıyor #r #c0aba1d İpuçları #n: Esir hayvanların kullanılması önerilmez",Bir zanaatkar masasıyla işleme ile elde edilir
292,Hindistan cevizi fidanı,Hindistan cevizi toprağa dikildikten sonra yetişen fideler bir süre sonra hindistancevizi ağaçlarına dönüşecektir!,
294,Dev hindistancevizi yaprağı,Böyle büyük bir yaprak #c0aba1d yakıt olarak kullanılan #n uzun süre yanıyor gibi görünüyor,
295,Büyük hindistancevizi,"#nyedikten sonra 15 fiziksel gücü kurtarmak için#c0aba1d , #c0aba1d çukura dikilmiş #n hindistancevizi #r #c0aba1d hindistancevizi üzerinde büyük meyve büyüyebilir #n, altında durmamaya dikkat edin, vurulmak şaka değildir",
296,Yabancılaşmış dev hindistancevizi yaprağı,"Lateritten etkilenen tüm yaprağın rengi önemli ölçüde değişti ve içinde büyük miktarda kararsız madde birikti. #c0aba1d yakıt #nolarak kullanılırsa, daha uzun süre yanabilir gibi görünüyor.",
297,Yabancılaşmış büyük hindistancevizi,"#n #c0aba1d lateritten etkilenen hindistancevizi bile değişti. İçeride büyük miktarda dengesiz madde toplandı, hindistancevizi dikilmeye devam edemiyor ve yenmez hale geldi #r Korsanların #c0aba1d kabukları yapmak için yabancılaşmış hindistancevizi kullanmaktan hoşlandıklarını duydum #ndeneyin!",
298,Yanan küçük meşale,"Yerleştirdikten sonra, bir süre yanabilir ve çevreyi aydınlatabilir, daha sonra söndürülecektir ve temas yangını tekrar ateşlenebilir, örneğin: #c0aba1d yanan küçük bir meşale #n söndürmek için tıklayın veya #c0aba1d söndürülmüş küçük bir meşale #n yanan #c0aba1d şenlik ateşine tıklayın #n #r İpuçları: Küçük meşale Yağmur #n yağmurlu günler#c0aba1d ve ateşlenemez",
299,Söndürülmüş küçük meşale,"Söndürülen küçük bir meşale, açık bir alevle temas halinde tekrar yakılabilir, örneğin: söndürmek için #c0aba1d yanan #n tıklayan küçük bir meşale veya #c0aba1d sönmüş #n yanan #c0aba1d şenlik ateşine tıklayan küçük bir meşale #n #r İpuçları: Küçük meşale yağmurlu günler #c0aba1d  #n yağmurla ıslanacak ve ateşlenemez",
300,Bellflower,"Çiçek kronları ve yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir #r el ayrıca #c0aba1d korkuluk #n",Vahşi doğada toplanabilir veya toprak çukurlarına chime tohumları ekilerek elde edilebilir
301,Ruolan,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya Jolan tohumlarının toprak çukurlarına ekilmesiyle elde edilebilir.
302,Yıldız çiçeği,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına yıldız çiçek tohumları ekilerek elde edilebilir
303,Ejderha Kanı Çiçeği,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına ejderha kanı çiçek tohumları ekilerek elde edilebilir
304,Sümbül,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Yabani olarak toplanabilir veya toprak çukurlarına sümbül tohumları ekilerek elde edilebilir
305,Ejderha pençesi,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına ejderha pençesi tohumları ekilerek elde edilebilir
306,Dracaena,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya Dracaena tohumlarının toprak çukurlarına ekilmesiyle elde edilebilir
307,Kırmızı tekila,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına kırmızı agave tohumları ekilerek elde edilebilir
308,Portakal agave,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Yabani olarak toplanabilir veya toprak çukurlarına portakal agave tohumları ekilerek elde edilebilir
309,Gri agave,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına gri agave tohumları ekilerek elde edilebilir
310,Pembe Tekila,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya kir çukurlarına pembe agave tohumları ekilerek elde edilebilir
311,Beyaz hindistancevizi,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına beyaz hindistancevizi tohumları ekilerek elde edilebilir
312,sarı çan çiçeği,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına sarı çan çiçek tohumları ekilerek elde edilebilir
313,briar,"Yüksek kaliteli yiyecekler yapabilir, zanaatkar masasından çiçek tohumlarına da işlenebilir",Vahşi doğada toplanabilir veya toprak çukurlarına yabani gül tohumları ekilerek elde edilebilir
314,Kırmızı yosun,Kırmızı alg güç iksiri yapmak için ana malzemedir,Denizin dibinde derin #n  #c0aba1d büyür ve kaplıcaların etrafında hafifçe parlar
315,Oyun sürümü çok düşük,,
316,Oyun sürümü çok düşük,,
317,Oyun sürümü çok düşük,,
318,Oyun sürümü çok düşük,,
319,Oyun sürümü çok düşük,,
320,Oyun sürümü çok düşük,,
321,Şeftali çiçeği yığını,Çim lezzetli ve renkli,Kürek aletleriyle toplanan #c0aba1d şeftali bahçelerinde #ngörünür
322,Küçük çiçek yığını,Düşen çiçekler tekrar düşüyor,Kürek aletleriyle toplanan #c0aba1d şeftali bahçelerinde #ngörünür
323,yaprak döken kazık,Sınırsız düşen ahşap,Kürek aletleriyle toplanan #c0aba1d şeftali bahçelerinde #ngörünür
324,Kiraz meyvesi,Yıkımdan sonra elde edilebilecek olgun kiraz içeren yapraklar,
325,Karaçam meyvesi,Yıkımdan sonra elde edilebilen olgun çam kozalakları içeren yapraklar,
326,ağaç meyvesi,Yıkımdan sonra elde edilebilen olgun ağaç meyveleri içeren yapraklar,
327,Zhenmu meyvesi,Olgun oksijen meyveleri içeren yapraklar tahribattan sonra elde edilebilir,
328,Sekoya meyvesi,Yıkımdan sonra elde edilebilen olgun sekoya meyveleri içeren yapraklar,
329,Ceviz meyvesi,"Olgun ceviz içeren yapraklar, yıkımdan sonra ceviz elde edilebilir",
330,Maun meyvesi,"Olgun şeftali içeren yapraklar, yıkımdan sonra şeftali elde edilebilir",
331,Kavak meyvesi,Olgun kavak meyvesi içeren yapraklar tahribattan sonra elde edilebilir,
332,Kalın kiraz dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve ayrıca yakıt olarak kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
333,ince kiraz dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve yakıt olarak da kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir ve ayrıca kardan adamın#c0aba1d burnu olarak da kullanılabilir#n,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
334,Kaba karaçam dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve ayrıca yakıt olarak kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
335,Karaçam dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve yakıt olarak da kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir ve ayrıca kardan adamın#c0aba1d burnu olarak da kullanılabilir#n,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
336,Kaba nadir ahşap dallar,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve ayrıca yakıt olarak kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
337,Kiraz ağacı dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve yakıt olarak da kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir ve ayrıca kardan adamın#c0aba1d burnu olarak da kullanılabilir#n,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
338,Kalın ceviz dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve ayrıca yakıt olarak kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
339,İnce ceviz dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve yakıt olarak da kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir ve ayrıca kardan adamın#c0aba1d burnu olarak da kullanılabilir#n,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
340,Kalın şeftali ağacı dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve ayrıca yakıt olarak kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
341,Şeftali ağacı dalı,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve yakıt olarak da kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir ve ayrıca kardan adamın#c0aba1d burnu olarak da kullanılabilir#n,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
342,Kaba kavak dalları,@item_800# adresinde çeşitli aletlere ve aksesuarlara işlenebilir ve ayrıca yakıt olarak kullanılabilir#r#c0aba1d balta aletleri#n hızlı bir şekilde kesilebilir,Tam#n elde etmek için balta aletine#c0aba1d koyun ve ardından elde etmek için kesin
